,Time,Fog node,Device,Long,Lat,Cost,TimeSec,TimeMin
223,2014-02-01 00:06:56.898257,7.0,228,41.9005036567118,12.472893771839301,21.209314600000003,416,6
224,2014-02-01 00:06:58.602902,3.0,172,41.8812,12.5144,15.858068444444447,418,6
225,2014-02-01 00:07:02.602628,7.0,234,41.88273382158621,12.476432776787,19.188750166666665,422,7
226,2014-02-01 00:07:03.502279,7.0,232,41.8830730539512,12.4729996206361,149.849522,423,7
227,2014-02-01 00:07:06.111407,7.0,317,41.8898356221467,12.4744485842271,59.3281064,426,7
228,2014-02-01 00:07:06.833663,3.0,295,41.8871311810873,12.5049426334304,2.934194111111111,426,7
229,2014-02-01 00:07:09.557172,8.0,321,41.95130156,12.45081206,32.637150999999996,429,7
230,2014-02-01 00:07:09.611661,7.0,260,41.8970998231013,12.4727964699924,33.691918199999996,429,7
231,2014-02-01 00:07:10.572157,7.0,260,41.8970998231013,12.4727964699924,28.7941794,430,7
232,2014-02-01 00:07:10.572710,7.0,260,41.8970998231013,12.4727964699924,23.3422804,430,7
233,2014-02-01 00:07:10.983541,7.0,331,41.9004622707143,12.4731847923249,44.577678444444444,430,7
234,2014-02-01 00:07:12.064006,7.0,260,41.8970998231013,12.4727964699924,29.9346882,432,7
235,2014-02-01 00:07:12.532790,7.0,228,41.9005036567118,12.472893771839301,25.032039333333334,432,7
236,2014-02-01 00:07:13.650956,3.0,172,41.8806,12.5153,24.263311333333334,433,7
237,2014-02-01 00:07:18.706224,7.0,234,41.8827801283931,12.475891512202498,82.9673735,438,7
238,2014-02-01 00:07:20.578997,7.0,232,41.881768727841,12.471370378582302,45.694992,440,7
239,2014-02-01 00:07:20.880872,3.0,295,41.8871311810873,12.5049426334304,56.49771975,440,7
240,2014-02-01 00:07:21.436991,7.0,317,41.8898356221467,12.4744485842271,36.045728833333335,441,7
241,2014-02-01 00:07:23.528594,8.0,321,41.95070245,12.44987652,49.03310299999999,443,7
242,2014-02-01 00:07:24.325308,7.0,331,41.9004622707143,12.4731847923249,59.75902911111112,444,7
243,2014-02-01 00:07:26.608204,7.0,228,41.9005036567118,12.472893771839301,31.08475,446,7
244,2014-02-01 00:07:27.062636,7.0,260,41.8970998231013,12.4727964699924,28.078048,447,7
245,2014-02-01 00:07:30.972214,3.0,172,41.8804,12.5155,3.0479975000000006,450,7
246,2014-02-01 00:07:32.381783,7.0,234,41.8833484766298,12.475162089281099,86.25836675,452,7
247,2014-02-01 00:07:33.258846,8.0,232,41.8802535871518,12.4696871827266,47.435212,453,7
248,2014-02-01 00:07:36.183023,3.0,295,41.8871311810873,12.5049426334304,22.48998488888889,456,7
249,2014-02-01 00:07:36.429883,7.0,317,41.8898356221467,12.4744485842271,30.549934999999998,456,7
250,2014-02-01 00:07:39.497255,8.0,321,41.9505252,12.44863747,37.371601399999996,459,7
251,2014-02-01 00:07:41.150653,7.0,331,41.9004274439067,12.473265174776301,29.85241288888889,461,7
252,2014-02-01 00:07:42.246228,7.0,228,41.9005036567118,12.472893771839301,14.712549125,462,7
253,2014-02-01 00:07:43.732068,7.0,260,41.8970998231013,12.4727964699924,19.7878586,463,7
254,2014-02-01 00:07:47.367513,7.0,234,41.8835852890886,12.4748969694067,50.933939,467,7
255,2014-02-01 00:07:48.324207,8.0,232,41.878678109084504,12.468594751571601,20.771557,468,7
256,2014-02-01 00:07:51.121438,7.0,317,41.8898356221467,12.4744485842271,21.584107,471,7
257,2014-02-01 00:07:53.827468,8.0,321,41.9499268,12.44764674,40.255096571428574,473,7
258,2014-02-01 00:07:54.130888,7.0,331,41.9004274439067,12.473265174776301,21.630011333333332,474,7
259,2014-02-01 00:07:54.283008,3.0,295,41.8868711137455,12.5044069783073,10.85649322222222,474,7
260,2014-02-01 00:07:55.738344,7.0,234,41.8835852890886,12.4748969694067,21.012278,475,7
261,2014-02-01 00:07:56.631864,7.0,228,41.900492786064,12.4728834695271,29.57471677777778,476,7
262,2014-02-01 00:07:57.565631,7.0,260,41.8970998231013,12.4727964699924,22.310586333333333,477,7
263,2014-02-01 00:08:03.297789,8.0,232,41.8771673334492,12.467871962342901,57.931019000000006,483,8
264,2014-02-01 00:08:05.485590,7.0,234,41.8836507227926,12.4748046264574,42.099624,485,8
265,2014-02-01 00:08:05.819069,3.0,295,41.8855915901334,12.502894408931502,8.535655,485,8
266,2014-02-01 00:08:06.109670,7.0,317,41.8898356221467,12.4744485842271,43.541844,486,8
267,2014-02-01 00:08:08.822994,8.0,321,41.94956202,12.44758288,16.222614,488,8
268,2014-02-01 00:08:09.124002,7.0,331,41.9004274439067,12.473265174776301,48.56726142857143,489,8
269,2014-02-01 00:08:11.507761,7.0,228,41.900492785591105,12.472883468729401,7.736950888888889,491,8
270,2014-02-01 00:08:12.477938,7.0,260,41.8970998231013,12.4727964699924,64.89984933333334,492,8
271,2014-02-01 00:08:17.303552,7.0,234,41.8836507227926,12.4748046264574,39.44555325,497,8
272,2014-02-01 00:08:18.287828,9.0,232,41.8757293222681,12.4676822240517,7.87484625,498,8
273,2014-02-01 00:08:21.112179,7.0,317,41.8898356221467,12.4744485842271,38.229456285714285,501,8
274,2014-02-01 00:08:22.315559,3.0,295,41.883716971297005,12.5001229602327,7.87503711111111,502,8
275,2014-02-01 00:08:24.186591,8.0,321,41.94928127,12.44563818,14.5855304,504,8
276,2014-02-01 00:08:24.527721,7.0,331,41.9004740472883,12.473265593871501,83.65847875,504,8
